GeoFips,City_Match,Cost_Of_Living_RPP,City_Label,Population,Median_Household_Income,High_Skill_Total,Real_Purchasing_Power,Education_Rate
48700,"Williamsport, PA",91.489,"Williamsport, PA",114274.0,58177.0,19572.0,63589.07,0.1713
48900,"Wilmington, NC",97.018,"Wilmington, NC",285139.0,63036.0,78794.0,64973.51,0.2763
49020,"Winchester, VA-WV",97.351,"Winchester, VA-WV",141695.0,72904.0,25773.0,74887.78,0.1819
49180,"Winston-Salem, NC",91.596,"Winston-Salem, NC",672914.0,55454.0,127166.0,60541.95,0.189
49340,"Worcester, MA",100.439,"Worcester, MA-CT",973361.0,80333.0,246118.0,79981.88,0.2529
49420,"Yakima, WA",97.69,"Yakima, WA",255151.0,58380.0,27655.0,59760.47,0.1084
49620,"York-Hanover, PA",96.651,"York-Hanover, PA",454605.0,72543.0,81848.0,75056.65,0.18
49660,"Youngstown-Warren, OH",86.871,"Youngstown-Warren-Boardman, OH-PA",542459.0,50966.0,86881.0,58668.6,0.1602
49700,"Yuba City, CA",101.501,"Yuba City, CA",179484.0,65113.0,21989.0,64150.11,0.1225
49740,"Yuma, AZ",89.215,"Yuma, AZ",202944.0,52563.0,20286.0,58917.22,0.1
